parcel_number,property_address,owner_name,sale_price,sale_date,property_value,assessed_value,market_value,taxable_value,square_footage,lot_size,acres,municipality,zoning,mail_address,mail_city_state_zip,homesteaded,property_type,property_use,account_number,folio_number,deed_book,year_built,bedrooms,bathrooms,half_baths,neighborhood,subdivision,land_use_code,building_class,tax_amount,exemption_amount,school_district,additional_info,record_url,extraction_date,page_number
"$5,730,000",PALM BEACH GARDENS FL 33410 3231,NORTH PALM BEACH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://pbcpao.gov/AdvSearch/GetSalesSearch#,2025-11-24 14:20:42,1
2022-01-31,ANTHONY J FERRANTE TRUST,NORTH PALM BEACH,,,$10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://pbcpao.gov/AdvSearch/GetSalesSearch#,2025-11-24 14:20:42,1
"$525,000",640 KINGFISH RD,ARCH ENT INC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://pbcpao.gov/AdvSearch/GetSalesSearch#,2025-11-24 14:20:42,1
"$595,000",,ARCH ENTERPRISES INC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://pbcpao.gov/AdvSearch/GetSalesSearch#,2025-11-24 14:20:42,1
"$525,000",PALM BEACH GARDENS FL 33410 4408,NORTH PALM BEACH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://pbcpao.gov/AdvSearch/GetSalesSearch#,2025-11-24 14:20:43,1
"$1,800,000",842 LAKESIDE DR,ARCHBELL JAMES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://pbcpao.gov/AdvSearch/GetSalesSearch#,2025-11-24 14:20:43,1
"$3,850,000",,NORTH PALM BEACH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://pbcpao.gov/AdvSearch/GetSalesSearch#,2025-11-24 14:20:43,1
1999-01-20,561 GREENWAY DR,ATHEY GERALDINE F,,,$100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://pbcpao.gov/AdvSearch/GetSalesSearch#,2025-11-24 14:20:43,1
2003-08-01,3355 MARTIN FARM RD STE 100,NORTH PALM BEACH,,,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://pbcpao.gov/AdvSearch/GetSalesSearch#,2025-11-24 14:20:43,1
"$2,200,000",3355 MARTIN FARM RD STE 100,NORTH PALM BEACH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://pbcpao.gov/AdvSearch/GetSalesSearch#,2025-11-24 14:20:43,1
"$2,650,000",,BABER PARASMO JANET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://pbcpao.gov/AdvSearch/GetSalesSearch#,2025-11-24 14:20:43,1
2001-01-16,617 KINGFISH RD,BACHMAN ALICE R,,,$100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://pbcpao.gov/AdvSearch/GetSalesSearch#,2025-11-24 14:20:43,1
2004-11-12,,NORTH PALM BEACH,,,$100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://pbcpao.gov/AdvSearch/GetSalesSearch#,2025-11-24 14:20:43,1
2009-08-27,,NORTH PALM BEACH,,,$10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://pbcpao.gov/AdvSearch/GetSalesSearch#,2025-11-24 14:20:43,1
2016-06-06,,BACON JOHN D TR,,,$10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://pbcpao.gov/AdvSearch/GetSalesSearch#,2025-11-24 14:20:43,1
2009-08-27,,BACON MARIAN B TR,,,$10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://pbcpao.gov/AdvSearch/GetSalesSearch#,2025-11-24 14:20:43,1
2004-10-19,,BAGOCIUS MARY S,,,$1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://pbcpao.gov/AdvSearch/GetSalesSearch#,2025-11-24 14:20:43,1
"$400,000",,BAIN DONNA PUGLIANO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://pbcpao.gov/AdvSearch/GetSalesSearch#,2025-11-24 14:20:43,1
"$3,750,000",,NORTH PALM BEACH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://pbcpao.gov/AdvSearch/GetSalesSearch#,2025-11-24 14:20:43,1
"$3,040,000",PALM BEACH GARDENS FL 33410 3232,NORTH PALM BEACH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://pbcpao.gov/AdvSearch/GetSalesSearch#,2025-11-24 14:20:43,1
2019-09-18,PALM BEACH GARDENS FL 33410 3232,NORTH PALM BEACH,,,$10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://pbcpao.gov/AdvSearch/GetSalesSearch#,2025-11-24 14:20:43,1
"$2,130,000",640 KINGFISH RD,NORTH PALM BEACH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://pbcpao.gov/AdvSearch/GetSalesSearch#,2025-11-24 14:20:44,1
2011-08-18,640 KINGFISH RD,NORTH PALM BEACH,,,$1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://pbcpao.gov/AdvSearch/GetSalesSearch#,2025-11-24 14:20:44,1
"$6,200,000",713 WATERWAY DR,NORTH PALM BEACH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://pbcpao.gov/AdvSearch/GetSalesSearch#,2025-11-24 14:20:44,1
"$7,700,000",736 LAGOON DR,BARTASI GINA W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://pbcpao.gov/AdvSearch/GetSalesSearch#,2025-11-24 14:20:45,1
"$1,640,000",654 SHORE RD,NORTH PALM BEACH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://pbcpao.gov/AdvSearch/GetSalesSearch#,2025-11-24 14:20:45,1
"$2,500,000",776 HARBOUR ISLE CT,BAUHINIA INC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://pbcpao.gov/AdvSearch/GetSalesSearch#,2025-11-24 14:20:45,1
"$1,150,000",788 LAKESIDE DR,NORTH PALM BEACH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://pbcpao.gov/AdvSearch/GetSalesSearch#,2025-11-24 14:21:00,2
"$7,475,000",,NORTH PALM BEACH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://pbcpao.gov/AdvSearch/GetSalesSearch#,2025-11-24 14:21:00,2
2004-01-30,BETTONTE STEFANIA,NORTH PALM BEACH,,,$10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://pbcpao.gov/AdvSearch/GetSalesSearch#,2025-11-24 14:21:00,2
2000-05-15,BETTONTE STEFANIA TR,NORTH PALM BEACH,,,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://pbcpao.gov/AdvSearch/GetSalesSearch#,2025-11-24 14:21:00,2
"$525,000",BETTONTE STEFANIA TR,NORTH PALM BEACH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://pbcpao.gov/AdvSearch/GetSalesSearch#,2025-11-24 14:21:01,2
"$1,050,000",BEVEVINO STEPHEN R &,NORTH PALM BEACH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://pbcpao.gov/AdvSearch/GetSalesSearch#,2025-11-24 14:21:01,2
"$470,000",,NORTH PALM BEACH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://pbcpao.gov/AdvSearch/GetSalesSearch#,2025-11-24 14:21:01,2
"$470,000",12358 RIDGE RD,NORTH PALM BEACH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://pbcpao.gov/AdvSearch/GetSalesSearch#,2025-11-24 14:21:01,2
2003-01-07,,BICKNELL LYDABELLE,,,$10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://pbcpao.gov/AdvSearch/GetSalesSearch#,2025-11-24 14:21:01,2
2015-03-17,764 WATERWAY DR,BIE EUGENE F,,,$10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://pbcpao.gov/AdvSearch/GetSalesSearch#,2025-11-24 14:21:01,2
2011-06-10,713 WATERWAY DR,NORTH PALM BEACH,,,$10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://pbcpao.gov/AdvSearch/GetSalesSearch#,2025-11-24 14:21:01,2
2011-06-10,713 WATERWAY DR,NORTH PALM BEACH,,,$10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://pbcpao.gov/AdvSearch/GetSalesSearch#,2025-11-24 14:21:01,2
2016-11-03,713 WATERWAY DR,NORTH PALM BEACH,,,$10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://pbcpao.gov/AdvSearch/GetSalesSearch#,2025-11-24 14:21:01,2
"$550,000",PALM BEACH GARDENS FL 33410 4417,BLUM BRUCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://pbcpao.gov/AdvSearch/GetSalesSearch#,2025-11-24 14:21:01,2
"$1,985,000",527 N SWINTON AVE,NORTH PALM BEACH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://pbcpao.gov/AdvSearch/GetSalesSearch#,2025-11-24 14:21:01,2
"$4,350,000",830 LAKESIDE DR,BOSWELL HOLLY R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://pbcpao.gov/AdvSearch/GetSalesSearch#,2025-11-24 14:21:01,2
"$3,050,000",PALM BEACH GARDENS FL 33410 3231,NORTH PALM BEACH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://pbcpao.gov/AdvSearch/GetSalesSearch#,2025-11-24 14:21:01,2
"$765,000",PALM BEACH GARDENS FL 33410 4408,NORTH PALM BEACH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://pbcpao.gov/AdvSearch/GetSalesSearch#,2025-11-24 14:21:01,2
"$1,650,000",842 LAKESIDE DR,BOYLE KYLE G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://pbcpao.gov/AdvSearch/GetSalesSearch#,2025-11-24 14:21:01,2
2004-04-29,PALM BEACH GARDENS FL 33410 4417,BOZZUTO MICHAEL A,,,$10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://pbcpao.gov/AdvSearch/GetSalesSearch#,2025-11-24 14:21:01,2
"$3,540,000",PALM BEACH GARDENS FL 33410 4417,BOZZUTO MICHAEL A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://pbcpao.gov/AdvSearch/GetSalesSearch#,2025-11-24 14:21:01,2
"$2,400,000",CHESHIRE CT 06410 0873,BOZZUTO MICHAEL A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://pbcpao.gov/AdvSearch/GetSalesSearch#,2025-11-24 14:21:02,2
"$2,700,000",PALM BEACH GARDENS FL 33410 4408,NORTH PALM BEACH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://pbcpao.gov/AdvSearch/GetSalesSearch#,2025-11-24 14:21:02,2
"$1,250,000",649 RIVERSIDE RD,NORTH PALM BEACH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://pbcpao.gov/AdvSearch/GetSalesSearch#,2025-11-24 14:21:02,2
"$670,000",,NORTH PALM BEACH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://pbcpao.gov/AdvSearch/GetSalesSearch#,2025-11-24 14:21:02,2
"$735,000",106 DAVIT DR,NORTH PALM BEACH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://pbcpao.gov/AdvSearch/GetSalesSearch#,2025-11-24 14:21:02,2
2024-09-26,106 DAVIT DR,NORTH PALM BEACH,,,$10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://pbcpao.gov/AdvSearch/GetSalesSearch#,2025-11-24 14:21:02,2
"$703,250",BROUGH RICHARD A JR &,NORTH PALM BEACH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://pbcpao.gov/AdvSearch/GetSalesSearch#,2025-11-24 14:21:02,2
1985-07-01,WEST PALM BEACH FL 33401 5308,NORTH PALM BEACH,,,$100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://pbcpao.gov/AdvSearch/GetSalesSearch#,2025-11-24 14:21:02,2
2010-08-03,WEST PALM BEACH FL 33401 5308,NORTH PALM BEACH,,,$10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://pbcpao.gov/AdvSearch/GetSalesSearch#,2025-11-24 14:21:02,2
"$3,375,000",12358 RIDGE RD,NORTH PALM BEACH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://pbcpao.gov/AdvSearch/GetSalesSearch#,2025-11-24 14:21:02,2
"$2,800,000",,NORTH PALM BEACH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://pbcpao.gov/AdvSearch/GetSalesSearch#,2025-11-24 14:21:02,2
2013-02-22,BURKLUND BERNARD B JR &,NORTH PALM BEACH,,,$10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://pbcpao.gov/AdvSearch/GetSalesSearch#,2025-11-24 14:21:02,2
2011-08-17,,BURKLUND MARGARET,,,$10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://pbcpao.gov/AdvSearch/GetSalesSearch#,2025-11-24 14:21:02,2
2013-02-13,,BURKLUND MARGARET E,,,$10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://pbcpao.gov/AdvSearch/GetSalesSearch#,2025-11-24 14:21:02,2
"$600,000",,BURRIS LINDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://pbcpao.gov/AdvSearch/GetSalesSearch#,2025-11-24 14:21:02,2
"$4,500,000",619 RIVERSIDE RD,NORTH PALM BEACH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://pbcpao.gov/AdvSearch/GetSalesSearch#,2025-11-24 14:21:02,2
"$408,885",754 LAKESIDE DR,NORTH PALM BEACH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://pbcpao.gov/AdvSearch/GetSalesSearch#,2025-11-24 14:21:02,2
"$4,950,000",PALM BEACH GARDENS FL 33410 4408,BUYUK EROL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://pbcpao.gov/AdvSearch/GetSalesSearch#,2025-11-24 14:21:02,2
"$1,300,000",107 EBBTIDE DR,BYERS JOHN C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://pbcpao.gov/AdvSearch/GetSalesSearch#,2025-11-24 14:21:03,2
2003-12-18,508 ANCHORAGE DR,NORTH PALM BEACH,,,$10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://pbcpao.gov/AdvSearch/GetSalesSearch#,2025-11-24 14:21:03,2
"$865,000",PALM BEACH GARDENS FL 33410 4417,CABRAL WENDY S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://pbcpao.gov/AdvSearch/GetSalesSearch#,2025-11-24 14:21:03,2
"$9,003,275",100 EBBTIDE DR,NORTH PALM BEACH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://pbcpao.gov/AdvSearch/GetSalesSearch#,2025-11-24 14:21:03,2
"$2,300,000",789 HARBOUR ISLES CT,NORTH PALM BEACH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://pbcpao.gov/AdvSearch/GetSalesSearch#,2025-11-24 14:21:03,2
"$825,000",,CANEEL BAY LTD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://pbcpao.gov/AdvSearch/GetSalesSearch#,2025-11-24 14:21:03,2
"$1,200,000",800 RED MILLS RD,CASA APAVA LLC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://pbcpao.gov/AdvSearch/GetSalesSearch#,2025-11-24 14:21:03,2
"$3,200,000",CASTRO THALLYGEE &,NORTH PALM BEACH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://pbcpao.gov/AdvSearch/GetSalesSearch#,2025-11-24 14:21:03,2
2002-04-25,PALM BEACH GARDENS FL 33410 3231,CATALFUMO DANIEL S,,,$10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://pbcpao.gov/AdvSearch/GetSalesSearch#,2025-11-24 14:21:03,2
2009-06-01,PALM BEACH GARDENS FL 33410 3231,NORTH PALM BEACH,,,$10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://pbcpao.gov/AdvSearch/GetSalesSearch#,2025-11-24 14:21:03,2
"$1,092,500",PALM BEACH GARDENS FL 33410 3231,CATALFUMO DANIEL S TR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://pbcpao.gov/AdvSearch/GetSalesSearch#,2025-11-24 14:21:03,2
"$1,829,700",CERASARO ADRIANO &,NORTH PALM BEACH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://pbcpao.gov/AdvSearch/GetSalesSearch#,2025-11-24 14:21:17,3
2013-09-06,,CERASARO KATHLEEN M,,,$10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://pbcpao.gov/AdvSearch/GetSalesSearch#,2025-11-24 14:21:17,3
"$629,000",924 SHORE DR,CFISHC LLC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://pbcpao.gov/AdvSearch/GetSalesSearch#,2025-11-24 14:21:17,3
"$2,632,000",PALM BEACH GARDENS FL 33410 4417,NORTH PALM BEACH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://pbcpao.gov/AdvSearch/GetSalesSearch#,2025-11-24 14:21:18,3
"$950,000",527 N SWINTON AVE,NORTH PALM BEACH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://pbcpao.gov/AdvSearch/GetSalesSearch#,2025-11-24 14:21:18,3
"$4,350,000",830 LAKESIDE DR,NORTH PALM BEACH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://pbcpao.gov/AdvSearch/GetSalesSearch#,2025-11-24 14:21:18,3
"$1,550,000",16201 E MAIN ST,NORTH PALM BEACH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://pbcpao.gov/AdvSearch/GetSalesSearch#,2025-11-24 14:21:18,3
2008-10-08,16201 E MAIN ST,NORTH PALM BEACH,,,$10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://pbcpao.gov/AdvSearch/GetSalesSearch#,2025-11-24 14:21:18,3
"$2,934,000",PALM BEACH GARDENS FL 33410 3231,NORTH PALM BEACH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://pbcpao.gov/AdvSearch/GetSalesSearch#,2025-11-24 14:21:18,3
"$1,919,000",107 BOWSPRIT DR,NORTH PALM BEACH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://pbcpao.gov/AdvSearch/GetSalesSearch#,2025-11-24 14:21:18,3
"$650,000",737 WATERWAY DR,NORTH PALM BEACH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://pbcpao.gov/AdvSearch/GetSalesSearch#,2025-11-24 14:21:18,3
"$3,858,000",100 BOWSPRIT DR,NORTH PALM BEACH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://pbcpao.gov/AdvSearch/GetSalesSearch#,2025-11-24 14:21:18,3
"$3,064,460",PALM BEACH GARDENS FL 33410 4416,NORTH PALM BEACH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://pbcpao.gov/AdvSearch/GetSalesSearch#,2025-11-24 14:21:18,3
"$625,000",508 ANCHORAGE DR,NORTH PALM BEACH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://pbcpao.gov/AdvSearch/GetSalesSearch#,2025-11-24 14:21:18,3
"$4,106,125",,CRAIN JOHNNY L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://pbcpao.gov/AdvSearch/GetSalesSearch#,2025-11-24 14:21:18,3
"$500,000",PALM BEACH GARDENS FL 33410 3231,NORTH PALM BEACH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://pbcpao.gov/AdvSearch/GetSalesSearch#,2025-11-24 14:21:18,3
"$425,000",PALM BEACH GARDENS FL 33410 3231,NORTH PALM BEACH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://pbcpao.gov/AdvSearch/GetSalesSearch#,2025-11-24 14:21:18,3
"$550,000",818 LAKESIDE DR,NORTH PALM BEACH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://pbcpao.gov/AdvSearch/GetSalesSearch#,2025-11-24 14:21:18,3
"$2,300,000",,NORTH PALM BEACH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://pbcpao.gov/AdvSearch/GetSalesSearch#,2025-11-24 14:21:18,3
2025-08-27,DAUBERT FLORIDA COMMUNITY PROPERTY TRUST,NORTH PALM BEACH,,,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://pbcpao.gov/AdvSearch/GetSalesSearch#,2025-11-24 14:21:18,3
"$400,000",,DAUBERT JACK S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://pbcpao.gov/AdvSearch/GetSalesSearch#,2025-11-24 14:21:19,3
"$720,000",119 DAVIT DR,DAVIT DEVELOPMENT LLC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://pbcpao.gov/AdvSearch/GetSalesSearch#,2025-11-24 14:21:19,3
"$45,000",1125 COUNTRY CLUB DR,NORTH PALM BEACH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://pbcpao.gov/AdvSearch/GetSalesSearch#,2025-11-24 14:21:19,3
"$835,000",654 SHORE RD,DESANTIS GISELE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://pbcpao.gov/AdvSearch/GetSalesSearch#,2025-11-24 14:21:19,3
"$1,775,000",107 BOWSPRIT DR,DEZIEL LAWRENCE P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://pbcpao.gov/AdvSearch/GetSalesSearch#,2025-11-24 14:21:19,3
2018-10-23,PALM BEACH GARDENS FL 33410 4408,NORTH PALM BEACH,,,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://pbcpao.gov/AdvSearch/GetSalesSearch#,2025-11-24 14:21:19,3
"$1,850,000",PALM BEACH GARDENS FL 33410 4408,NORTH PALM BEACH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://pbcpao.gov/AdvSearch/GetSalesSearch#,2025-11-24 14:21:19,3
"$7,100,000",736 LAGOON DR,DIPIANO FAMILY REALTY LLC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://pbcpao.gov/AdvSearch/GetSalesSearch#,2025-11-24 14:21:19,3
